,Count
said,681
arthur,332
ford,316
zaphod,206
one,176
just,135
thought,119
s,117
now,117
well,110
know,107
planet,99
yes,95
dont,93
like,91
computer,90
man,86
time,85
can,83
see,81
think,81
looked,80
trillian,78
two,77
got,73
back,71
going,71
oh,69
moment,67
get,64
away,64
something,63
voice,62
way,62
will,61
didnt,60
deep,60
galaxy,60
good,60
im,58
small,58
look,57
round,57
years,55
around,55
old,54
earth,54
life,54
come,53
suddenly,51
want,51
us,51
vogon,50
great,49
much,49
quite,49
thats,49
ship,49
light,48
really,48
marvin,47
people,46
thing,45
fact,43
yeah,43
shouted,41
still,40
anything,40
little,40
say,40
nothing,40
day,38
even,38
tell,38
space,38
mean,38
universe,38
seemed,38
made,37
first,37
take,37
head,37
er,37
across,37
point,37
eyes,36
things,35
mind,35
knew,35
mr,35
turned,35
ive,35
whats,34
door,34
came,34
go,34
rather,34
every,33
never,33
ever,33
continued,32
air,32
went,32
another,32
magrathea,32
course,32
long,32
youre,32
trying,31
right,30
second,30
five,30
asked,30
new,30
hey,30
looking,29
gold,29
found,29
heart,29
sort,29
hitch,29
prefect,28
galactic,28
left,28
always,28
stared,28
work,28
improbability,27
president,27
three,27
answer,27
book,27
question,27
make,27
prosser,27
ill,27
though,26
thousand,26
cant,26
began,26
let,26
beeblebrox,26
happened,26
end,26
guard,26
many,26
seconds,26
guide,25
enough,25
large,25
last,25
slartibartfast,25
lot,25
bit,25
quietly,24
hundred,24
whole,24
keep,24
far,24
sky,24
vogons,23
ok,23
dent,23
wouldnt,23
must,23
house,23
stood,23
gone,23
big,23
called,23
dark,23
mice,23
wall,22
put,22
huge,22
wasnt,22
perfectly,22
find,22
gave,22
towards,22
front,22
sound,22
better,22
talk,22
everything,22
robot,22
open,22
silence,22
brain,21
later,21
also,21
million,21
power,21
sat,21
tried,21
hikers,21
alright,21
green,21
id,21
four,20
name,20
beneath,20
room,20
ground,20
slowly,20
stop,20
night,20
dead,20
couldnt,20
fish,19
actually,19
slight,19
form,19
important,19
yet,19
behind,19
isnt,19
thank,19
planets,19
felt,19
sense,19
yellow,19
finally,19
heard,19
probably,19
betelgeuse,18
part,18
god,18
ah,18
bridge,18
guys,18
men,18
running,18
started,18
screen,18
tiny,18
pretty,18
theres,18
half,17
couple,17
else,17
saying,17
gargle,17
next,17
six,17
almost,17
hi,17
problem,17
understand,17
without,17
says,17
exactly,17
damogran,17
matter,17
need,17
star,17
pub,16
drive,16
surface,16
place,16
frankie,16
sudden,16
system,16
simply,16
hadnt,16
ships,16
lay,16
several,16
picked,16
cold,16
world,16
give,16
appeared,16
top,16
face,16
drink,16
barman,16
may,16
paused,16
closed,16
standing,16
white,16
benji,16
water,16
cried,16
youve,16
opened,15
clearly,15
full,15
might,15
able,15
cabin,15
making,15
ten,15
feet,15
passed,15
terrible,15
sea,15
idea,15
glanced,15
sure,15
start,15
miles,15
less,15
seven,15
perhaps,15
notice,15
arthurs,15
known,15
used,15
words,15
earthman,15
kind,14
government,14
somewhere,14
fook,14
lunkwill,14
forward,14
stopped,14
corner,14
hell,14
hed,14
muttered,14
built,14
lying,14
weve,14
number,14
together,14
stuck,14
control,14
decided,14
simple,14
none,14
eventually,14
slightly,14
inside,14
soon,14
black,14
straight,14
please,14
best,14
feel,14
wild,14
effect,13
nervous,13
low,13
sharply,13
wanted,13
anyone,13
aircar,13
home,13
sun,13
listen,13
shut,13
hatchway,13
told,13
today,13
vroomfondel,13
speak,13
demand,13
walk,13
strange,13
side,13
worried,13
run,13
noise,13
lost,13
everyone,13
ask,12
someone,12
settled,12
crater,12
become,12
along,12
yelled,12
call,12
eddie,12
die,12
sorry,12
frowned,12
lie,12
often,12
anyway,12
story,12
theyre,12
doesnt,12
hands,12
followed,12
added,12
thin,12
fun,12
nice,12
youd,12
real,12
bulldozer,12
longer,12
flashed,11
party,11
ultimate,11
howl,11
mud,11
help,11
nearly,11
clear,11
seem,11
distance,11
havent,11
wrong,11
sitting,11
carried,11
glass,11
falling,11
fine,11
became,11
fell,11
infinite,11
missiles,11
problems,11
means,11
entirely,11
job,11
word,11
either,11
steel,11
beings,11
majikthise,11
hold,11
stupid,11
fords,11
rolled,11
floor,11
greatest,11
finger,11
solid,11
shall,11
reason,11
arm,11
moved,11
turn,11
met,11
surprised,11
minutes,11
whilst,11
whatever,11
worked,10
insisted,10
died,10
coincidence,10
already,10
research,10
sounds,10
mostly,10
completely,10
electronic,10
land,10
speed,10
flat,10
excitement,10
heads,10
least,10
hear,10
waited,10
since,10
talking,10
towel,10
read,10
interesting,10
took,10
shouting,10
seen,10
believe,10
spaceship,10
hello,10
wide,10
intelligent,10
loonquawl,10
o,10
human,10
business,10
major,10
morning,10
attention,10
nervously,10
bits,10
third,10
watched,10
d,10
odd,10
show,10
whose,9
crowd,9
fast,9
screens,9
machine,9
exclaimed,9
entry,9
figures,9
realized,9
getting,9
sit,9
computers,9
within,9
dust,9
subetha,9
guy,9
arms,9
hand,9
walked,9
red,9
saw,9
window,9
totally,9
quickly,9
seat,9
neck,9
worry,9
pan,9
stars,9
console,9
figure,9
usually,9
thinking,9
size,9
discovered,9
set,9
smiled,9
infinity,9
moments,9
bank,9
thirty,9
astonishment,9
safe,9
device,9
phouchg,9
captain,9
fifteen,9
chamber,9
ancient,9
soft,9
cut,9
waving,9
designed,9
table,9
sir,9
cop,9
rest,9
alpha,9
lucky,9
body,9
quick,9
till,9
outside,9
shrugged,9
however,8
sent,8
entire,8
hard,8
direction,8
boat,8
bar,8
youll,8
probability,8
explain,8
span,8
money,8
ghastly,8
except,8
flying,8
struck,8
message,8
harmless,8
excited,8
breath,8
music,8
brightly,8
feeling,8
mouse,8
paper,8
hung,8
rich,8
angry,8
existed,8
faces,8
care,8
cybernetics,8
sirius,8
vast,8
throat,8
wind,8
depressed,8
wont,8
beautiful,8
aware,8
others,8
relaxed,8
young,8
panic,8
improbable,8
extraordinary,8
therefore,8
silver,8
suns,8
press,8
crew,8
high,8
use,8
heavy,8
formed,8
properly,8
wave,8
whale,8
theyd,8
thoroughly,8
poetry,8
zaphods,8
smile,8
arrived,8
waiting,8
somebody,8
copy,8
tea,8
particularly,8
hyperspace,8
shook,8
forms,8
amazingly,8
afraid,8
done,8
stepped,8
given,8
spirit,8
grinned,8
thoughts,8
remarkable,8
prepared,7
sleep,7
welcome,7
partly,7
hiker,7
interstellar,7
data,7
amazing,7
apparently,7
square,7
lifestyle,7
surprise,7
wonderful,7
button,7
panel,7
atmosphere,7
short,7
public,7
circuits,7
demanded,7
pints,7
explained,7
busy,7
waved,7
hit,7
late,7
chance,7
mental,7
shot,7
excuse,7
try,7
easy,7
section,7
blinked,7
silent,7
burst,7
reached,7
hope,7
realize,7
interest,7
walls,7
craft,7
threw,7
shapes,7
prostetnic,7
corporation,7
happy,7
stand,7
aside,7
curious,7
council,7
whispered,7
particular,7
impact,7
mouth,7
bypass,7
liked,7
instead,7
horror,7
game,7
bright,7
wildly,7
wait,7
rolling,7
bay,7
firmly,7
enjoy,7
happen,7
agreed,7
bloody,7
ones,7
brought,7
patterns,7
times,7
airlock,7
snapped,7
resistance,7
shooting,7
reach,7
coming,7
friends,7
single,7
impossible,7
dentrassi,7
speech,7
ear,7
bottom,7
thick,7
arent,7
design,7
original,7
terribly,7
popular,7
creatures,7
lights,7
taken,7
