,0
hitchhiker's,3
guide,25
to,1162
the,2480
galaxythe,1
galaxy,42
b,6
y,114
d,342
o,232
u,227
g,340
l,228
a,1740
s,341
m,116
2,79
0,44
1,154
h,562
n,3
c,113
e,450
t,450
v,2
r,115
i,636
.,1
0c,1
p,1
©,1
for,298
jonny,1
brock,1
and,1130
clare,1
gorst,1
all,162
other,54
arlingtonians,1
"tea,",1
"sympathy,",1
sofa,3
far,23
out,144
in,599
uncharted,1
backwaters,1
of,1247
unfashionable,1
end,17
western,1
spiral,4
arm,7
lies,1
small,57
unregarded,1
yellow,16
sun.,5
orbiting,1
this,214
at,312
distance,9
roughly,2
ninety-two,1
million,21
miles,15
is,261
an,144
utterly,3
insignificant,1
little,38
blue,3
green,19
planet,77
whose,7
ape-,1
descended,3
life,30
forms,5
are,123
so,114
amazingly,8
primitive,3
that,461
they,226
still,38
think,76
digital,4
watches,1
pretty,16
neat,1
idea.,1
has,41
-,118
or,76
rather,34
had,250
"problem,",4
which,115
was,592
this:,5
most,46
people,42
on,322
it,588
were,136
unhappy,3
much,37
time.,12
many,26
solutions,1
suggested,2
but,178
these,25
largely,4
concerned,1
with,270
movements,1
pieces,4
"paper,",1
odd,8
because,61
whole,24
wasn't,21
paper,6
unhappy.,1
problem,6
remained;,1
lots,5
"mean,",5
them,100
"miserable,",1
even,38
ones,3
watches.,1
increasingly,2
opinion,1
they'd,7
made,36
big,18
mistake,1
coming,7
down,91
from,130
trees,3
first,31
place.,4
some,62
said,505
been,91
bad,5
"move,",1
no,95
one,149
should,19
ever,31
have,157
left,26
oceans.,1
"then,",9
"thursday,",3
nearly,11
two,71
thousand,26
years,37
after,45
man,56
nailed,2
tree,2
saying,12
how,47
great,43
would,102
be,179
nice,11
"change,",1
girl,5
sitting,11
her,32
own,29
cafe,1
rickmansworth,1
suddenly,50
realized,9
what,155
going,67
wrong,7
"time,",8
she,57
finally,17
knew,34
world,13
could,74
good,38
happy,6
time,53
"right,",3
"work,",2
get,62
anything.,5
4,43
/,224
"sadly,",2
"however,",5
before,37
phone,2
tell,30
anyone-,1
about,160
"it,",30
terribly,6
stupid,9
catastrophe,3
"occurred,",2
idea,13
lost,7
forever.,1
not,131
story.,2
story,9
terrible,14
its,56
consequences.,1
also,20
"book,",4
book,16
called,22
hitch,29
hiker's,17
earth,30
never,29
published,3
"earth,",10
until,9
seen,8
heard,18
by,113
any,60
earthman.,1
"nevertheless,",1
wholly,4
remarkable,8
book.,4
fact,36
probably,18
come,36
publishing,2
houses,1
ursa,2
minor,2
earthman,3
either.,2
only,65
highly,6
successful,5
more,59
popular,7
than,43
celestial,1
home,10
care,7
"omnibus,",1
better,19
selling,3
fifty,6
things,28
do,97
zero,1
"gravity,",1
controversial,2
oolon,2
colluphid's,1
trilogy,1
philosophical,1
blockbusters,1
where,43
god,9
went,31
"wrong,",1
god's,3
greatest,10
mistakes,1
who,68
person,2
anyway?,2
relaxed,6
civilizations,1
outer,3
eastern,1
rim,1
"galaxy,",10
already,10
supplanted,1
encyclopedia,3
galactica,4
as,222
standard,1
repository,1
knowledge,2
"wisdom,",1
though,16
omissions,1
contains,3
"apocryphal,",1
least,6
wildly,4
"inaccurate,",1
scores,1
over,60
"older,",1
pedestrian,1
work,21
important,10
respects.,1
k,112
',112
x,112
5,43
"first,",1
slightly,11
cheaper;,1
secondly,1
words,11
don't,69
panic,4
inscribed,1
large,23
friendly,4
letters,3
cover.,3
"terrible,",1
extraordinary,8
"consequences,",1
consequences,1
inextricably,1
intertwined,1
begins,4
very,115
simply.,1
house.,4
6,43
house,18
stood,23
slight,19
rise,2
just,126
edge,4
village.,1
looked,79
broad,1
spread,4
west,1
country,1
farmland.,1
means,9
thirty,9
"old,",2
"squattish,",1
"squarish,",1
"brick,",1
four,18
windows,5
set,9
front,21
size,9
proportion,1
less,15
exactly,14
failed,5
please,6
eye.,1
whom,4
way,52
special,4
arthur,181
"dent,",3
happened,18
he,776
lived,6
in.,11
three,25
"years,",8
since,9
moved,10
london,2
him,108
nervous,10
irritable.,1
"well,",12
dark,17
haired,1
never-,1
quite,46
ease,2
himself.,15
thing,35
used,15
worry,5
always,28
ask,12
looking,28
worried,10
about.,8
worked,9
local,5
radio,3
his,346
friends,6
lot,23
interesting,9
thought.,26
"was,",3
too,24
advertising.,1
hadn't,14
properly,6
registered,3
council,5
wanted,13
knock,5
build,6
bypass,4
instead.,1
eight,3
o'clock,1
thursday,2
morning,4
didn't,59
feel,13
good.,2
woke,3
up,138
"blearily,",1
got,72
"up,",6
wandered,5
blearily,1
round,53
"room,",5
opened,13
"window,",4
saw,9
"bulldozer,",1
found,28
"slippers,",1
stomped,5
off,52
bathroom,3
wash.,1
toothpaste,1
brush,3
so.,3
scrub.,1
shaving,2
mirror,2
pointing,4
ceiling.,2
adjusted,1
it.,54
moment,39
reflected,4
second,25
bulldozer,10
through,94
window.,3
"adjusted,",1
dent's,6
bristles.,1
shaved,1
"off,",2
"washed,",1
"dried,",1
kitchen,2
find,22
something,46
pleasant,6
put,22
mouth.,1
7,43
"kettle,",1
"plug,",1
"fridge,",1
"milk,",1
coffee.,1
yawn.,1
word,10
mind,22
search,4
connect,2
with.,7
outside,8
window,2
one.,10
stared,28
"""yellow,""",3
thought,70
back,59
bedroom,1
dressed.,1
passing,6
stopped,8
drink,7
glass,9
"water,",2
another.,1
began,25
suspect,3
hung,6
over.,3
why,34
over?,1
drinking,4
night,17
before?,1
supposed,4
must,23
been.,2
caught,6
glint,1
mirror.,2
bedroom.,1
"pub,",3
oh,9
"dear,",1
pub.,2
vaguely,3
remembered,1
being,39
"angry,",1
angry,6
seemed,37
important.,3
he'd,14
telling,6
"length,",1
suspected:,1
clearest,1
visual,1
recollection,1
glazed,1
looks,4
people's,2
faces.,3
new,27
pipeline,1
months,2
known,14
ridiculous.,1
took,10
swig,1
water.,3
sort,29
itself,28
"out,",4
"decided,",1
"bypass,",1
leg,2
stand,7
on.,16
out.,16
hangover,1
earned,1
though.,2
himself,32
wardrobe,1
stuck,14
tongue.,2
8,42
fifteen,9
seconds,18
later,15
lying,13
advancing,1
garden,2
path.,2
mr,34
prosser,20
"say,",2
human.,2
carbon-based,2
form,15
ape.,1
specifically,1
"forty,",1
fat,2
shabby,1
council.,1
curiously,4
